"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TZ7DBTI2","journalArticle","1999","Stelzer, Robert S.; Lamberti, Gary A.","Independent and Interactive Effects of Crayfish and Darters on a Stream Benthic Community","Journal of the North American Benthological Society","","0887-3593, 1937-237X","10.2307/1468384","https://www.journals.uchicago.edu/doi/10.2307/1468384","A growing body of research suggests that direct and indirect interactions among consumers can have strong effects on the abundance of their prey. We examined the independent and interactive effects of 2 common freshwater consumers, crayfish (Orconectes propinquus) and rainbow darters (Etheostoma caeruleum), on benthic macroinvertebrates in a southern Michigan, USA, stream. A secondary goal was to assess the effects of crayfish and darters on the basal trophic level (periphyton) in the system. Presence and absence of crayfish and darters were manipulated in situ in wire mesh cages (0.2 m2, 6-mm mesh) using a 2 x 2 factorial, randomized block design. Invertebrates and periphyton (for chlorophyll a analysis) were sampled biweekly for 6 wk from artificial rock substrates within these cages. Neither consumer significantly affected chlorophyll a accumulation. Darters alone had no significant effects on total invertebrate abundance. Crayfish alone caused, on average, a 58% reduction in total invertebrate abundance relative to exclosures, and most common invertebrate taxa were negatively affected. In the presence of darters, however, crayfish reduced invertebrate numbers by only 29% relative to exclosures. Darters apparently modified the ability of crayfish to suppress invertebrate abundance, although the mechanism is unclear. Evaluations of community structure based on manipulations of individual consumer species may be misleading when interaction modifications such as these occur.","1999-12","2021-09-30 16:39:58","2021-09-30 16:39:58","2021-09-30 16:39:58","524-532","","4","18","","Journal of the North American Benthological Society","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/8N9SXI6P/Stelzer and Lamberti - 1999 - Independent and Interactive Effects of Crayfish an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYUFCCFS","journalArticle","2007","Steiner, Christopher F.; Cáceres, Carla E.; Smith, Sigrid D. P.","Resurrecting the Ghost of Competition Past with Dormant Zooplankton Eggs","The American Naturalist","","0003-0147, 1537-5323","10.1086/510728","https://www.journals.uchicago.edu/doi/10.1086/510728","A common prediction of evolutionary theory is that the strength of interspeciﬁc competition should decline over time among sympatric populations of competing species. Here we provide experimental evidence of historical declines in competition effects among competing zooplankton populations. Using diapausing eggs, we resurrected clones of three species of zooplankton obtained from different periods of community assembly in a single lake. We show that clones of Daphnia ambigua obtained from early in assembly when D. ambigua was dominant became extinct in competition with clones of Daphnia pulicaria and Daphnia dentifera (the current lake dominants). In contrast, D. ambigua clones obtained from later in the lake’s history experienced weaker competition effects and persisted with D. dentifera. While we cannot rule out the role of intraspeciﬁc competition within D. ambigua, our results are in line with the view that natural selection favors reduced interaction strength among co-occurring species, facilitating coexistence and population persistence.","2007-03","2021-09-30 16:40:01","2021-09-30 16:40:01","2021-09-30 16:40:01","416-422","","3","169","","The American Naturalist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/R9GMVWYB/Steiner et al. - 2007 - Resurrecting the Ghost of Competition Past with Do.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IX5S292Q","journalArticle","1999","Steele, Mark A","Effects of shelter and predators on reef fishes","Journal of Experimental Marine Biology and Ecology","","00220981","10.1016/S0022-0981(98)00127-0","https://linkinghub.elsevier.com/retrieve/pii/S0022098198001270","","1999-01","2021-09-30 16:40:02","2021-09-30 16:40:02","2021-09-30 16:40:02","65-79","","1","233","","Journal of Experimental Marine Biology and Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/SK5J58IL/Steele - 1999 - Effects of shelter and predators on reef fishes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFIPGBA5","journalArticle","2005","Stav, Gil; Blaustein, Leon; Margalit, Yoel","INDIVIDUAL AND INTERACTIVE EFFECTS OF A PREDATOR AND CONTROPHIC SPECIES ON MOSQUITO POPULATIONS","Ecological Applications","","1051-0761","10.1890/03-5191","http://doi.wiley.com/10.1890/03-5191","Species sharing the same trophic level as mosquito larvae (hereafter, controphic species) may have complex effects on mosquitoes by sharing both predators and food resources. We conducted an outdoor artiﬁcial pool experiment to assess the individual and interactive effects of a predator (Anax imperator) and controphic species (primarily Daphnia magna) on larval populations of two common mosquitoes, Culex pipiens and Culiseta longiareolata.","2005-04","2021-09-30 16:40:04","2021-09-30 16:40:04","2021-09-30 16:40:04","587-598","","2","15","","Ecological Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/UT8GKG25/Stav et al. - 2005 - INDIVIDUAL AND INTERACTIVE EFFECTS OF A PREDATOR A.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQBMPXJW","journalArticle","2002","Sipura, Mika","CONTRASTING EFFECTS OF ANTS ON THE HERBIVORY AND GROWTH OF TWO WILLOW SPECIES","","","","","","This study examines the effects of two predatory ants, Myrmica rubra L. and Formica aquilonia Yarr. on the herbivory and growth of two phytochemically different willow species: low-salicylate Salix phylicifolia L. and high-salicylate Salix myrsinifolia Salisb. The net inﬂuence of ants on willow growth will depend on a balance between the beneﬁts ants provide to the plant through predation on herbivores and the costs to the plant through the protection of aphids. Using both ﬁeld observations and experimental manipulations of the densities of ants and tended aphids, I tested the hypothesis that this balance differs between the two willow species. On both observational and experimental willows, I followed the insect densities throughout one growing season and measured leaf damage and willow growth. The results from both data sets suggest that the effects of ants on the herbivory and consequent growth of these willows differ. Especially F. aquilonia had a positive effect on the growth of S. phylicifolia, whereas the effect on S. myrsinifolia was negligible or even slightly negative. These differences can be derived from three factors: (1) the ant-tended aphid Pterocomma salicis L. was very abundant on both willow species, leading to strong negative impact of ants on the willows, (2) S. myrsinifolia harbored lower densities of leaf-chewing insects, which made the positive effect of ants through reduced leaf damage less likely, and (3) the dominant leaf-chewing herbivore on S. myrsinifolia, a leaf beetle Phratora vitellinae L., is chemically defended against predatory ants, being thus less preyed on than the predominating generalist leaf-chewing herbivores on S. phylicifolia. Furthermore, when ants were not attending aphids, they even facilitated P. vitellinae, apparently by removing other predators. This study provides one explanation for the debate of whether ants beneﬁt or harm plants: differences in herbivore resistance of plants may lead to diverging or even opposite results in tritrophic interactions between plants, their herbivores, and predatory ants.","2002","2021-09-30 16:40:05","2021-09-30 16:40:05","","11","","10","83","","","","","","","","","","en","","","","","Zotero","","","","/Users/simontye/Zotero/storage/QBEBLYAP/Sipura - 2002 - CONTRASTING EFFECTS OF ANTS ON THE HERBIVORY AND G.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LUL5RLM","journalArticle","2002","Silvertown, Jonathan; McConway, Kevin J.; Hughes, Zoe; Biss, Pamela; Macnair, Mark; Lutman, Peter","Ecological and Genetic Correlates of Long‐Term Population Trends in the Park Grass Experiment","The American Naturalist","","0003-0147, 1537-5323","10.1086/342071","https://www.journals.uchicago.edu/doi/10.1086/342071","The Park Grass Experiment (PGE) is the longestobserved set of experimental plant communities in existence. Although the gross composition of the vegetation was at equilibrium over the 60-yr period from 1920 to 1979, annual records show that individual species exhibited a range of dynamics. We tested two hypotheses to explain why some species initially increased and why subsequently some of these (the outbreak species) decreased again. The study was designed around eight phylogenetically independent contrasts (PICs), each containing related species with different dynamics. Our ﬁrst hypothesis was that persistent increasers and outbreakers have higher intrinsic rates of natural increase than control species (species without trends), allowing them to spread when interspeciﬁc competition is reduced by drought. This was tested by measuring establishment and seed production of species in ﬁeld experiments, with and without interspeciﬁc competition. Seed production in outbreak species responded more strongly to release from interspeciﬁc competition than it did in either of the other groups of species. Our second hypothesis was that outbreak species eventually declined because they lacked the genetic variation necessary to adapt to the novel habitats to which they had initially spread. We tested this by measuring mating systems and genetic diversity in persistent and outbreak species in the PGE. In seven out of seven PICs tested, the outbreak species was more selﬁng than its persistent relative. There was a signiﬁcant positive correlation between outcrossing rate and gene diversity. These results support roles for both ecological and genetic traits in long-term dynamics.","2002-10","2021-09-30 16:40:06","2021-09-30 16:40:06","2021-09-30 16:40:06","409-420","","4","160","","The American Naturalist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/PY2V5FAM/Silvertown et al. - 2002 - Ecological and Genetic Correlates of Long‐Term Pop.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QBWLC8H","journalArticle","2005","Mitchell, Darren W.; Grubaugh, Jack W.","Impacts of Shorebirds on Macroinvertebrates in the Lower Mississippi Alluvial Valley","The American Midland Naturalist","","0003-0031, 1938-4238","10.1674/0003-0031(2005)154[0188:IOSOMI]2.0.CO;2","http://www.bioone.org/doi/abs/10.1674/0003-0031%282005%29154%5B0188%3AIOSOMI%5D2.0.CO%3B2","Shorebirds use stopover sites throughout the Lower Mississippi Alluvial Valley (LMAV) to fuel their southern migration. At these stopover sites shorebirds exploit macroinvertebrates as their primaryforaging material during migration. Studies from coastal areas suggest that shorebirds can significantly deplete macroinvertebrate abundance and biomass at stopover sites. Whether these results are true for the LMAV remains to be evaluated. An exclosure experiment wasconducted on five National Wildlife Refuges (NWRs) stretching 400 km throughout the LMAV to see if shorebird foraging impacted macroinvertebrate community composition, abundance and standing stock biomass. Macroinvertebrates were sampled in the late summer of 2001 and 2002 from exclosure areas and open areas and compared using 2-sampIe paired Mests. Community composition was relatively similar between the five refuges sampled. Macroinvertebrate abundances ranged from 300 to 433,000 individuals/m2 with a mean of 66,500 (±6000) individuals/m2.","2005-07","2021-09-30 16:40:07","2021-09-30 16:40:07","2021-09-30 16:40:07","188-200","","1","154","","The American Midland Naturalist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/IDBMYSDX/Mitchell and Grubaugh - 2005 - Impacts of Shorebirds on Macroinvertebrates in the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDYC4XRX","journalArticle","2007","Savage, Amy M.; Peterson, Merrill A.","Mutualism in a community context: the positive feedback between an ant–aphid mutualism and a gall-making midge","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-006-0582-1","http://link.springer.com/10.1007/s00442-006-0582-1","","2007-02-16","2021-09-30 16:40:09","2021-09-30 16:40:09","2021-09-30 16:40:09","280-291","","2","151","","Oecologia","Mutualism in a community context","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/CFNPJMXA/Savage and Peterson - 2007 - Mutualism in a community context the positive fee.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDUUI38A","journalArticle","2004","Sardans, Jordi; Rodà, Ferran; Peñuelas, Josep","Phosphorus limitation and competitive capacities of Pinus halepensis and Quercus ilex subsp. rotundifolia on different soils","Plant Ecology formerly `Vegetatio'","","1385-0237","10.1023/B:VEGE.0000049110.88127.a0","http://link.springer.com/10.1023/B:VEGE.0000049110.88127.a0","Aleppo pine ͑Pinus halepensis͒ and the evergreen holm oak ͑Quercus ilex͒ dominate forest areas of the Mediterranean Basin. Both species regenerate abundantly after ﬁres: pine through seedlings and holm oak through resprouts. Cumulative nutrient losses caused by frequent ﬁres may have decreased soil nutrient availability in such areas. To assess the role of nitrogen and phosphorus as limiting factors for growth of these species during post-ﬁre recovery, a ﬁeld fertilisation and competition experiment was conducted in a 5-year post-ﬁre shrubland on calcareous soil, where naturally-regenerated saplings of Aleppo pine and resprouts of interior holm oak ͑Quercus ilex subsp. rotundifolia͒ coexist. Three years after fertilisation, relative basal area increment was 56% greater in pines fertilised with 250 kg P ha–1 than in non fertilised ones. N fertilisation had small or no effects. Interactions between N and P fertilisation were not observed. Growth of Aleppo pine only increased with P fertilisation when neighbours were removed. Hence, the negative effect of neighbours on growth was greater when P availability was enhanced by fertilisation. In contrast, holm oak was able to grow more ͑110%͒ in response to increased P supply even without neighbour removal. A common garden experiment was then conducted with potted seedlings to investigate whether the suggested higher competitive capacity of holm oak for P held under a range of P amendments on different soils and competitive situations. P fertilisation increased seedling biomass yield of both species. When P availability increased, a negative effect of neighbours on growth was observed for holm oak and in 70 a lesser extent for Aleppo pine. In conclusion, in the ﬁeld, holm oak resprouts showed higher competitive ability for P uptake compared to Aleppo pine saplings, but in potted seedlings in common garden conditions this trend was not observed. Therefore holm oak is not always competitively superior to Aleppo pine for P. Potted seedlings of both species had a notable plasticity in shoot/root biomass allocation, but only holm oak increased its proportional allocation to roots when neighbours were present. P availability can be a key factor in growth and competitive relations of these two species, but effects differ depending on soil type, individual age, regeneration type ͑i.e., seedling versus resprouts͒, and competitive situation.","2004","2021-09-30 16:40:10","2021-09-30 16:40:10","2021-09-30 16:40:10","307-319","","2","174","","Plant Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/XCFK7BJZ/Sardans et al. - 2004 - Phosphorus limitation and competitive capacities o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKATGF2S","journalArticle","2006","Sanders, Dirk; Platner, Christian","Intraguild interactions between spiders and ants and top-down control in a grassland food web","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-006-0538-5","http://link.springer.com/10.1007/s00442-006-0538-5","","2006-12-19","2021-09-30 16:40:12","2021-09-30 16:40:12","2021-09-30 16:40:12","611-624","","4","150","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/CW234MI6/Sanders and Platner - 2006 - Intraguild interactions between spiders and ants a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
