"","id","paper","genus","species","fungrp","co2.ambi","co2.elev","units","time","pot","method","stock","xtrt","level","m1i","sd1i","n1i","m2i","sd2i","n2i"
"23",236,510,"QUERCUS","ALBA","ANGIO",360,700,"ul/l",210,"0.95","GC","SEED","NONE",".",14.15,8.6467,6,8.2,3.3558,6
"24",242,510,"PINUS","ECHINATA","GYMNO",360,700,"ul/l",168,"0.95","GC","SEED","NONE",".",2.2,0.4111,10,1.33,0.1897,10
"25",254,550,"BETULA","PENDULA","ANGIO",350,700,"umol/mol",40,"HYDRO","GC","SEED","NONE",".",23.11,0.8443,22,14.94,0.8443,22
"26",256,553,"PICEA","ABIES","GYMNO",350,750,"cm3/m3",180,"50","GC","SAP","OZONE","HIGH",262.1,16.4,6,235.5,15,6
"27",257,553,"PICEA","ABIES","GYMNO",350,750,"cm3/m3",180,"50","GC","SAP","OZONE","LOW",273.3,14,6,236.4,7.5,6
"28",267,582,"PIPER","AURITUM","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",10.14,2.52,4,8.81,2.06,4
"29",277,582,"SENNA","MULTIJUGA","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",15.72,2.76,4,13.22,1.94,4
"30",287,582,"MYRIOCARPA","LONGIPES","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",9.01,2.58,4,9.8,2.06,4
"31",296,582,"CECROPIA","OBTUSIFOLIA","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",21.33,3.06,4,18.6,2.34,4
"32",306,582,"TRICHOSPERMUM","MEXICANUM","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",14.68,2.82,4,12.18,2.46,4
"33",313,596,"BETULA","LENTA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",8.36,3.915,10,5.3,6.625,10
"34",320,596,"BETULA","PAPYRIFERA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",7.91,1.809,10,3.6,3.026,10
"35",327,596,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",12.45,6.944,10,4.98,3.937,10
"36",334,596,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",7.84,3.324,10,4.01,2.106,10
"37",343,666,"PINUS","BANKSIANA","GYMNO",350,750,"umol/mol",270,"0.04","GH","SEED","UVB","HIGH",0.09316,0.071404,10,0.07382,0.083294,10
"38",344,666,"PINUS","BANKSIANA","GYMNO",350,750,"umol/mol",270,"0.04","GH","SEED","UVB","LOW",0.59046,0.410369,10,0.41117,0.255702,10
"39",392,2003,"BETULA","PUBESCENS","ANGIO",350,700,"umol/mol",34,"0.2","GC","SEED","TEMP","HIGH",4.77,0.198,2,3.83,0.1414,2
"40",393,2003,"BETULA","PUBESCENS","ANGIO",350,700,"umol/mol",34,"0.2","GC","SEED","TEMP","LOW",3.74,0.0424,2,3.4,0.0566,2
"41",394,2003,"BETULA","PUBESCENS","ANGIO",350,560,"umol/mol",35,"0.3","GC","SEED","OZONE","HIGH",3.15,0.297,2,2.4,0.014,2
"42",395,2003,"BETULA","PUBESCENS","ANGIO",350,560,"umol/mol",35,"0.3","GC","SEED","OZONE","LOW",3.78,0.424,2,3.17,0.424,2
"43",410,2026,"PINUS","PONDEROSA","GYMNO",350,650,"ubar",60,"1.8","GC","SEED","TEMP","HIGH",2.15,0.36,16,1.7,0.32,16
"44",411,2026,"PINUS","PONDEROSA","GYMNO",350,650,"ubar",60,"1.8","GC","SEED","TEMP","LOW",1.76,0.28,16,1.66,0.28,16
"45",441,2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",47.38,5.015,2,32.99,5.375,2
"46",442,2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",258.53,50.315,2,221,32.542,2
"47",443,2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",482.04,14.801,2,396.31,41.697,2
"48",444,2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",30.59,2.152,2,44.8,7.879,2
"49",445,2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",172.4,23.678,2,44.93,11.845,2
"50",446,2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",277.46,14.834,2,187.67,26.635,2
"51",447,2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",23.08,4.294,2,18.8,4.668,2
"52",448,2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",196.8,26.614,2,109.07,29.574,2
"53",449,2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",254.39,32.624,2,168.88,20.734,2
"54",450,2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",31.1,1.073,2,29.36,3.943,2
"55",451,2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",186,17.729,2,161.05,8.876,2
"56",452,2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",232.37,8.867,2,232.69,17.897,2
"57",453,2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",25.19,2.151,2,23.2,1.078,2
"58",454,2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",120.8,20.773,2,114.68,26.625,2
"59",455,2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",262.77,17.832,2,168.74,26.83,2
"60",456,2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",38.36,3.215,2,26.49,1.79,2
"61",457,2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",178.33,11.833,2,161.74,14.856,2
"62",458,2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",186.26,11.834,2,180.48,11.867,2
"63",479,2039,"POPULUSX","EURAMERICANA","ANGIO",34.5,69.3,"Pa",148,"GRND","OTC","SAP","FERT","HIGH",113,4.472,5,76,6.708,5
"64",480,2039,"POPULUSX","EURAMERICANA","ANGIO",34.5,69.3,"Pa",148,"GRND","OTC","SAP","FERT","LOW",75,8.944,5,60,8.944,5
"65",523,2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","H2O","WW",4.773,2.1477,48,3.862,1.4272,48
"66",524,2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","H2O","DRT",3.272,0.9215,48,2.49,0.6582,48
"67",525,2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","FERT","HIGH",5.249,1.6628,48,4.031,1.2956,48
"68",526,2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","FERT","LOW",2.798,0.5958,48,2.35,0.582,48
"69",547,2048,"PICEA","GLAUCA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","HIGH",0.333,0.147,10,0.243,0.118,10
"70",548,2048,"PICEA","GLAUCA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","LOW",0.64,0.154,10,0.443,0.13,10
"71",561,2048,"PICEA","MARIANA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","HIGH",0.498,0.163,10,0.328,0.127,10
"72",562,2048,"PICEA","MARIANA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","LOW",0.824,0.234,10,0.55,0.112,10
"73",575,2048,"PINUS","BANKSIANA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","HIGH",0.843,0.234,10,0.599,0.132,10
"74",576,2048,"PINUS","BANKSIANA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","LOW",1.533,0.395,10,0.842,0.151,10
"75",614,2110,"POPULUS","EURAMERICANA","ANGIO",34.5,69.3,"Pa",158,"GRND","OTC","SAP","FERT","HIGH",562.8,62.3863,5,381.6,64.3988,5
"76",615,2110,"POPULUS","EURAMERICANA","ANGIO",34.5,69.3,"Pa",158,"GRND","OTC","SAP","FERT","LOW",374.4,109.5673,5,298.2,96.3745,5
"77",623,2117,"PICEA","ABIES","GYMNO",350,700,"umol/mol",47,"0.2","GH","SEED","TEMP","HIGH",1.092,0.0297,2,0.971,0.0255,2
"78",624,2117,"PICEA","ABIES","GYMNO",350,700,"umol/mol",47,"0.2","GH","SEED","TEMP","LOW",1.12,0.0141,2,0.975,0.0127,2
"79",636,2117,"BETULA","PENDULA","ANGIO",350,700,"umol/mol",35,"0.2","GH","SAP","TEMP","HIGH",6.91,0.3111,2,5.95,0.198,2
"80",637,2117,"BETULA","PENDULA","ANGIO",350,700,"umol/mol",35,"0.2","GH","SAP","TEMP","LOW",6.94,0.4243,2,5.78,0.099,2
"81",721,2217,"MARANTHES","CORYMBOSA","ANGIO",350,700,"umol/mol",210,"10","OTC","SEED","NONE",".",16.959,2.186,5,10.578,1.21,5
"82",725,2223,"ACER","RUBRUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",2.4,0.5634,6,2.24,0.3919,6
"83",726,2223,"ACER","RUBRUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",16.98,1.9596,6,10.96,1.9351,6
"84",727,2223,"ACER","RUBRUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",28.18,3.2333,6,19.5,2.2535,6
"85",731,2223,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",3.09,0.7348,6,2.04,0.3674,6
"86",732,2223,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",13.8,2.425,6,4.36,2.474,6
"87",733,2223,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",18.2,3.1843,6,14.79,3.5028,6
"88",737,2223,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",1.9,0.1225,6,1.51,0.1715,6
"89",738,2223,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",10.23,0.6124,6,5.89,1.3962,6
"90",739,2223,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",16.59,2.9149,6,13.8,1.5922,6
"91",743,2223,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",2.34,0.2694,6,2.24,0.3919,6
"92",744,2223,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",16.22,2.8414,6,11.48,2.0086,6
"93",745,2223,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",24.55,1.3962,6,19.95,2.3025,6
"94",749,2223,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",1.51,0.1715,6,2.14,0.4899,6
"95",750,2223,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",9.12,1.5922,6,5.49,1.3227,6
"96",751,2223,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",18.62,2.1556,6,13.49,0.7593,6
"97",755,2223,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT","LOW",1.9,0.2205,6,1.48,0.1715,6
"98",756,2223,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","LIGHT","LOW",14.45,1.6657,6,8.71,1.5187,6
"99",757,2223,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",165,"1.25","GH","SEED","FERT+L",".",16.98,0.5389,6,16.59,0.9553,6
"100",765,2224,"QUERCUS","RUBRA","ANGIO",385,642,"ul/l",60,"6","GC","SEED","NONE",".",16.9,1.7321,3,7.2,2.5981,3
"101",774,2224,"ACER","SACCHARUM","ANGIO",385,642,"ul/l",60,"6","GC","SEED","NONE",".",7.2,1.7321,3,4.6,1.7321,3
"102",783,2224,"POPULUS","TREMULOIDES","ANGIO",385,642,"ul/l",60,"6","GC","SEED","NONE",".",102.6,6.2354,3,69.7,3.6373,3
